iter	Passed	Remaining
761	23305	7279
762	23354	7254
763	23386	7224
764	23426	7196
765	23497	7177
766	23548	7153
767	23559	7116
768	23574	7081
769	23587	7045
770	23596	7008
771	23605	6971
772	23642	6942
773	23692	6918
774	23715	6885
775	23726	6848
776	23736	6812
777	23750	6777
778	23806	6753
779	23839	6723
780	23868	6692
781	23881	6657
782	23891	6621
783	23901	6585
784	23912	6549
785	23966	6525
786	24032	6504
787	24053	6471
788	24075	6438
789	24085	6402
790	24093	6366
791	24153	6343
792	24228	6324
793	24244	6290
794	24257	6255
795	24268	6219
796	24278	6183
797	24327	6158
798	24382	6133
799	24397	6099
800	24407	6063
801	24416	6027
802	24426	5992
803	24435	5956
804	24494	5933
805	24544	5907
806	24572	5876
807	24597	5844
808	24610	5810
809	24670	5786
810	24715	5759
811	24726	5724
812	24755	5694
813	24833	5674
814	24853	5641
815	24869	5607
816	24881	5573
817	24889	5537
818	24900	5503
819	24958	5478
820	25025	5456
821	25038	5422
822	25049	5387
823	25062	5353
824	25071	5318
825	25079	5283
826	25162	5263
827	25190	5232
828	25212	5200
829	25299	5181
830	25326	5150
831	25337	5116
832	25353	5082
833	25362	5048
834	25372	5013
835	25382	4979
836	25427	4951
837	25488	4927
838	25501	4893
839	25510	4859
840	25525	4825
841	25565	4797
842	25634	4774
843	25651	4741
844	25660	4706
845	25673	4673
846	25706	4643
847	25741	4614
848	25773	4583
849	25787	4550
850	25795	4516
851	25806	4482
852	25840	4453
853	25872	4423
854	25917	4395
855	25931	4362
856	25950	4330
857	26008	4304
858	26042	4274
859	26102	4249
860	26112	4215
861	26121	4181
862	26133	4148
863	26144	4115
864	26194	4088
865	26249	4061
866	26272	4030
867	26283	3996
868	26294	3963
869	26303	3930
870	26313	3897
871	26369	3870
872	26419	3843
873	26437	3811
874	26446	3778
875	26460	3745
876	26498	3716
877	26538	3687
878	26599	3661
879	26617	3629
880	26626	3596
881	26635	3563
882	26687	3536
883	26730	3507
884	26742	3475
885	26782	3446
886	26818	3416
887	26880	3390
888	26896	3358
889	26905	3325
890	26944	3296
891	26992	3268
892	27023	3237
893	27039	3206
894	27072	3176
895	27086	3143
896	27118	3113
897	27158	3084
898	27196	3055
899	27237	3026
900	27264	2995
901	27322	2968
902	27333	2936
903	27345	2903
904	27375	2873
905	27412	2844
906	27469	2816
907	27536	2790
908	27578	2760
909	27591	2728
910	27604	2696
911	27613	2664
912	27709	2640
913	27748	2610
914	27759	2578
915	27809	2550
916	27840	2519
